,0
10,813
10,878
10,1030
10,2832
10,902
10,2290
10,852
10,1522
10,625
10,817
10,2173
10,915
10,2655
10,1726
10,865
10,1084
10,719
10,1150
10,1024
10,1334
10,869
10,564
10,2345
10,1141
10,807
10,680
10,772
10,977
10,1402
10,389
10,2495
10,2166
10,1055
10,1105
10,597
10,1719
10,568
10,624
10,1819
10,1278
10,1855
10,511
10,568
10,441
10,562
10,162
10,1379
10,592
10,1329
10,1967
10,548
10,1181
10,1177
10,865
10,646
10,347
10,704
10,764
10,433
10,2530
10,1076
10,1353
10,757
10,2746
10,881
10,1387
10,827
10,1482
10,743
10,879
10,2968
10,1037
10,676
10,1737
10,786
10,1198
10,536
10,903
10,847
10,2351
10,856
10,1931
10,302
10,613
10,1620
10,458
10,1392
10,1298
10,764
10,2205
10,2214
10,655
10,725
10,1813
10,1342
10,340
10,750
10,2600
10,1131
10,2627
10,1103
10,2048
10,1330
10,889
10,651
10,349
10,1239
10,748
10,597
10,841
10,1064
10,730
10,1899
10,2502
10,1171
10,759
10,623
10,1640
10,671
10,499
10,2549
10,1563
10,1344
10,1142
10,715
10,547
10,1824
10,919
10,551
10,310
10,664
10,1451
10,341
10,640
10,845
10,1645
10,1424
10,1473
10,905
10,1178
10,617
10,626
10,1379
10,442
10,1223
10,930
10,718
10,621
10,1692
10,879
10,919
10,754
10,1942
10,1246
10,650
10,2100
10,1058
10,1404
10,473
10,1336
10,2005
10,658
10,844
10,627
10,717
10,778
10,1068
10,1851
10,2989
10,611
10,1785
10,939
10,2023
10,2750
10,475
10,2606
10,2279
10,696
10,520
10,662
10,740
10,1605
10,2539
10,854
10,653
10,1293
10,750
10,937
10,672
10,1224
10,719
10,738
10,814
10,38
10,806
10,871
10,996
10,1896
10,1256
10,524
10,815
11,734
11,1229
11,750
11,1448
11,696
11,1219
11,1011
11,936
11,864
11,587
11,788
11,864
11,1175
11,1211
11,673
11,809
11,924
11,764
11,852
11,1099
11,913
11,841
11,995
11,935
11,945
11,955
11,1239
11,1053
11,788
11,527
11,1277
11,725
11,1192
11,905
11,1040
11,909
11,688
11,1093
11,556
11,690
11,1259
11,533
11,596
11,639
11,648
11,555
11,1266
11,486
11,1141
11,915
11,686
11,657
11,853
11,719
11,1087
11,444
11,391
11,818
11,450
11,915
11,1123
11,819
11,961
11,562
11,1613
11,970
11,936
11,1294
11,1112
11,1103
11,1012
11,982
11,701
11,921
11,696
11,1658
11,644
11,1059
11,950
11,1004
11,852
11,701
11,528
11,766
11,1109
11,691
11,1366
11,636
11,611
11,1387
11,1091
11,926
11,820
11,911
11,1584
11,563
11,830
11,1301
11,740
11,1191
11,976
11,1344
11,1139
11,592
11,940
11,655
11,1223
11,747
11,810
11,727
11,706
11,1185
11,1383
11,879
11,687
11,771
11,1002
11,748
11,881
11,835
11,1200
11,1393
11,1435
11,797
11,864
11,752
11,953
11,653
11,816
11,435
11,1072
11,569
11,669
11,732
11,784
11,1055
11,1660
11,651
11,1187
11,1246
11,935
11,954
11,697
11,820
11,1440
11,745
11,794
11,1102
11,1100
11,1057
11,472
11,830
11,902
11,720
11,806
11,1221
11,1167
11,753
11,763
11,750
11,930
11,261
11,920
11,848
11,600
11,561
11,1010
11,686
11,945
11,642
11,1442
11,967
11,1485
11,1052
11,441
11,907
11,1310
11,943
11,570
11,280
11,912
11,1242
11,1330
11,901
11,824
11,616
11,950
11,1146
11,765
11,1258
11,1086
11,737
11,958
11,58
11,897
11,786
11,941
11,995
11,632
11,651
11,977
12,262
12,326
12,899
12,523
12,46
12,68
12,21
12,776
12,590
12,557
12,634
12,945
12,457
12,563
12,936
12,761
12,945
12,400
12,10
12,391
12,605
12,663
12,121
12,919
12,612
12,593
12,44
12,62
12,408
12,616
12,8
12,567
12,71
12,603
12,19
12,374
12,11
12,77
12,938
12,210
12,540
12,394
12,305
12,634
12,762
12,619
12,707
12,35
12,11
12,849
12,685
12,18
12,827
12,510
12,512
12,11
12,90
12,742
12,22
12,488
12,389
12,540
12,165
12,247
12,18
12,885
12,882
12,973
12,66
12,113
12,4
12,586
12,952
12,25
12,12
12,54
12,6
12,510
12,232
12,5
12,843
12,106
12,875
12,734
12,546
12,92
12,38
12,26
12,128
12,124
12,1045
12,974
12,25
12,629
12,363
12,178
12,200
12,18
12,443
12,16
12,586
12,496
12,508
12,457
12,167
12,27
12,10
12,258
12,38
12,277
12,315
12,456
15,47
15,42
15,149
15,250
15,75
15,225
15,419
15,406
15,170
15,32
15,185
15,372
15,288
15,8
15,326
15,256
15,127
15,173
15,30
15,126
15,246
15,313
15,410
15,86
15,445
15,339
15,539
15,365
15,331
15,205
15,29
15,52
15,28
15,45
15,361
15,245
15,214
15,736
15,198
15,140
15,103
15,234
15,58
15,219
15,171
15,265
15,1
15,19
15,17
15,61
15,205
15,260
15,306
15,216
15,285
15,34
15,32
15,13
15,39
15,173
15,109
15,280
15,270
15,64
15,781
15,250
15,169
15,215
15,360
15,197
15,19
15,523
15,162
15,158
15,115
15,288
15,190
15,267
15,314
15,171
15,88
15,166
15,31
15,134
15,352
15,47
15,298
15,34
15,24
15,345
15,192
15,178
15,303
15,102
15,807
15,161
15,23
15,173
15,35
15,260
15,133
15,57
15,90
15,73
15,365
15,371
15,45
15,14
15,475
15,100
15,155
15,249
15,113
15,350
15,249
15,133
15,142
15,423
15,69
15,371
15,168
15,48
15,123
15,314
15,276
15,193
15,58
15,33
15,355
15,38
15,314
15,584
15,179
15,105
15,161
15,14
15,693
15,185
15,339
15,284
15,325
15,77
15,151
15,649
15,50
15,104
15,597
15,141
15,288
15,77
15,393
15,73
15,199
15,116
15,271
15,295
15,176
15,410
15,304
15,370
15,156
15,204
15,277
15,38
15,51
15,133
15,14
15,142
15,101
15,15
15,335
15,98
15,111
15,105
15,9
15,374
15,16
15,43
15,193
15,381
15,377
15,220
15,193
15,38
15,188
15,40
15,398
15,63
15,36
15,118
15,28
15,265
15,171
15,149
15,159
15,153
15,73
15,255
8,1146
8,2248
8,835
8,1198
8,917
8,866
8,881
8,637
8,672
8,773
8,692
8,696
8,965
8,1888
8,1801
8,540
8,801
8,206
8,1072
8,685
8,807
8,161
8,603
8,1416
8,739
8,795
8,770
8,577
8,413
8,295
8,1686
8,735
8,2002
8,1218
8,711
8,1097
8,415
8,771
8,387
8,520
8,1508
8,503
8,874
8,325
8,501
8,189
8,1299
8,530
8,2516
8,782
8,567
8,657
8,892
8,821
8,795
8,324
8,459
8,926
8,199
8,1103
8,2105
8,557
8,780
8,557
8,1247
8,740
8,823
8,940
8,715
8,1100
8,1064
8,639
8,702
8,521
8,685
8,1745
8,600
8,999
8,984
8,1146
8,878
8,421
8,956
8,854
8,688
8,1699
8,1560
8,791
8,823
8,1188
8,635
8,665
8,441
8,505
8,1258
8,437
8,755
8,888
8,1033
8,947
8,1270
8,708
8,989
8,931
8,589
8,453
8,2515
8,688
8,477
8,664
8,680
8,1250
8,951
8,580
8,899
8,858
8,752
8,951
8,706
8,555
8,955
8,1914
8,1583
8,956
8,879
8,693
8,538
8,870
8,801
8,500
8,666
8,544
8,384
8,790
8,1050
8,729
8,1787
8,629
8,1860
8,1282
8,773
8,638
8,517
8,626
8,1585
8,735
8,716
8,442
8,681
8,1642
8,820
8,964
8,984
8,872
8,729
8,1010
8,1493
8,875
8,1520
8,310
8,629
8,409
8,865
8,734
8,708
8,699
8,1162
8,558
8,699
8,413
8,1305
8,1020
8,1281
8,592
8,458
8,773
8,1097
8,647
8,751
8,356
8,644
8,1283
8,543
8,1589
8,777
8,832
8,1532
8,907
8,533
8,923
8,897
8,937
8,592
8,93
8,1011
8,926
8,1885
8,984
8,569
8,821
